datedata,date,estimate
229,2020-08-17,124.77788129910255
230,2020-08-18,120.98073894885543
231,2020-08-19,117.29696767388482
232,2020-08-20,113.72325024844704
233,2020-08-21,110.25636444312369
234,2020-08-22,106.89318036627986
235,2020-08-23,103.63065787810356
236,2020-08-24,100.46584407529707
237,2020-08-25,97.3958708445411
238,2020-08-26,94.41795248290094
239,2020-08-27,91.52938338339128
240,2020-08-28,88.72753578396218
241,2020-08-29,86.00985757821445
242,2020-08-30,83.37387018619533
243,2020-08-31,80.81716648366947
244,2020-09-01,78.33740878830086
245,2020-09-02,75.93232690122255
246,2020-09-03,73.59971620251032
247,2020-09-04,71.33743579911544
248,2020-09-05,69.14340672384883
249,2020-09-06,67.01561018404604
250,2020-09-07,64.95208585857797
251,2020-09-08,62.95093024190726
252,2020-09-09,61.01029503392415
253,2020-09-10,59.12838557432891
254,2020-09-11,57.30345932035992
255,2020-09-12,55.5338243666983
256,2020-09-13,53.8178380064103
257,2020-09-14,52.15390533181885
258,2020-09-15,50.54047787422461
259,2020-09-16,48.976052281425204
260,2020-09-17,47.45916903200923
261,2020-09-18,45.988411185428205
262,2020-09-19,44.562403166876315
263,2020-09-20,43.179809586033
264,2020-09-21,41.839334088748636
265,2020-09-22,40.5397182407778
266,2020-09-23,39.279740442688215
267,2020-09-24,38.05821487509658
268,2020-09-25,36.87399047340503
269,2020-09-26,35.72594993123377
270,2020-09-27,34.613008731766854
271,2020-09-28,33.53411420624875
272,2020-09-29,32.48824461888975
273,2020-09-30,31.47440827745787
274,2020-10-01,30.49164266885415
275,2020-10-02,29.53901361898708
276,2020-10-03,28.61561447627991
277,2020-10-04,27.720565318162617
278,2020-10-05,26.853012179917442
279,2020-10-06,26.012126305263795
280,2020-10-07,25.197103418084847
281,2020-10-08,24.40716301471399
282,2020-10-09,23.641547676215033
283,2020-10-10,22.899522400105102
284,2020-10-11,22.180373950984066
285,2020-10-12,21.483410229548642
286,2020-10-13,20.80795965948338
287,2020-10-14,20.153370591734404
288,2020-10-15,19.519010725685057
289,2020-10-16,18.90426654676553
290,2020-10-17,18.308542780041233
291,2020-10-18,17.73126185933687
292,2020-10-19,17.171863411465214
293,2020-10-20,16.629803755141165
294,2020-10-21,16.10455541417302
295,2020-10-22,15.595606644534007
296,2020-10-23,15.102460974927745
297,2020-10-24,14.624636760471907
298,2020-10-25,14.161666749134454
299,2020-10-26,13.713097660566788
300,2020-10-27,13.278489776987806
301,2020-10-28,12.857416545782261
302,2020-10-29,12.449464193486001
303,2020-10-30,12.054231350839547
304,2020-10-31,11.67132868860018
305,2020-11-01,11.300378563811144
306,2020-11-02,10.941014676234804
307,2020-11-03,10.592881734664616
308,2020-11-04,10.255635132838522
309,2020-11-05,9.928940634684041
310,2020-11-06,9.612474068632636
311,2020-11-07,9.3059210307482
312,2020-11-08,9.008976596421439
313,2020-11-09,8.721345040388796
314,2020-11-10,8.442739564841146
315,2020-11-11,8.17288203539398
316,2020-11-12,7.9115027246970495
317,2020-11-13,7.658340063467571
318,2020-11-14,7.4131403987370454
319,2020-11-15,7.175657759107508
320,2020-11-16,6.9456536268186895
321,2020-11-17,6.72289671643304
322,2020-11-18,6.507162759950894
323,2020-11-19,6.298234298173256
324,2020-11-20,6.09590047813475
325,2020-11-21,5.899956856434163
326,2020-11-22,5.710205208294827
327,2020-11-23,5.526453342191708
328,2020-11-24,5.3485149198866395
329,2020-11-25,5.176209281717501
330,2020-11-26,5.00936127699146
331,2020-11-27,4.847801099336555
332,2020-11-28,4.691364126869954
333,2020-11-29,4.539890767045186
334,2020-11-30,4.393226306044458
335,2020-12-01,4.251220762585927
336,2020-12-02,4.113728746019443
337,2020-12-03,3.9806093185877702
338,2020-12-04,3.851725861733788
339,2020-12-05,3.72694594633748
340,2020-12-06,3.6061412067698004
341,2020-12-07,3.489187218653651
342,2020-12-08,3.3759633802253033
343,2020-12-09,3.2663527971925825
344,2020-12-10,3.1602421709890463
345,2020-12-11,3.0575216903262294
346,2020-12-12,2.958084925948779
347,2020-12-13,2.861828728499985
348,2020-12-14,2.7686531294078196
349,2020-12-15,2.678461244704136
350,2020-12-16,2.5911591816921393
351,2020-12-17,2.506655948379643
352,2020-12-18,2.4248633655979597
353,2020-12-19,2.3456959817285328
354,2020-12-20,2.2690709899616373
355,2020-12-21,2.1949081480136026
356,2020-12-22,2.1231297002311136
357,2020-12-23,2.0536603020131645
358,2020-12-24,1.9864269464832105
359,2020-12-25,1.9213588933459873
360,2020-12-26,1.8583875998653225
361,2020-12-27,1.7974466539010845
362,2020-12-28,1.7384717089451693
363,2020-12-29,1.6814004210981432
364,2020-12-30,1.6261723879298222
365,2020-12-31,1.57272908916869
366,2021-01-01,1.5210138291666297
367,2021-01-02,1.4709716810869735
368,2021-01-03,1.4225494327653654
369,2021-01-04,1.3756955341943737
370,2021-01-05,1.3303600465842005
371,2021-01-06,1.286494592953196
372,2021-01-07,1.2440523102032217
373,2021-01-08,1.2029878026361902
374,2021-01-09,1.163257096869366
