datedata,date,estimate
191,2020-07-10,295434.03636516584
192,2020-07-11,295820.4514954608
193,2020-07-12,296195.3652421022
194,2020-07-13,296559.1131784555
195,2020-07-14,296912.0212922816
196,2020-07-15,297254.4062534187
197,2020-07-16,297586.57567416877
198,2020-07-17,297908.8283625822
199,2020-07-18,298221.45456882904
200,2020-07-19,298524.7362248411
201,2020-07-20,298818.94717740343
202,2020-07-21,299104.3534148701
203,2020-07-22,299381.2132876739
204,2020-07-23,299649.77772279544
205,2020-07-24,299910.29043235333
206,2020-07-25,300162.98811647185
207,2020-07-26,300408.1006605795
208,2020-07-27,300645.85132728727
209,2020-07-28,300876.4569429917
210,2020-07-29,301100.12807934434
211,2020-07-30,301317.0692297248
212,2020-07-31,301527.4789808519
213,2020-08-01,301731.550179663
214,2020-08-02,301929.4700955895
215,2020-08-03,302121.42057835124
216,2020-08-04,302307.5782113911
217,2020-08-05,302488.11446106754
218,2020-08-06,302663.19582171825
219,2020-08-07,302832.9839567075
220,2020-08-08,302997.6358355653
221,2020-08-09,303157.3038673229
222,2020-08-10,303312.13603014976
223,2020-08-11,303462.2759973893
224,2020-08-12,303607.863260093
225,2020-08-13,303749.0332461473
226,2020-08-14,303885.9174360845
227,2020-08-15,304018.6434756697
228,2020-08-16,304147.3352853495
229,2020-08-17,304272.1131666486
230,2020-08-18,304393.09390559746
231,2020-08-19,304510.39087327133
232,2020-08-20,304624.1141235198
233,2020-08-21,304734.3704879629
234,2020-08-22,304841.26366832916
235,2020-08-23,304944.8943262073
236,2020-08-24,305045.3601702826
237,2020-08-25,305142.75604112714
238,2020-08-26,305237.17399361
239,2020-08-27,305328.7033769934
240,2020-08-28,305417.4309127774
241,2020-08-29,305503.4407703556
242,2020-08-30,305586.8146405418
243,2020-08-31,305667.63180702546
244,2020-09-01,305745.9692158138
245,2020-09-02,305821.90154271503
246,2020-09-03,305895.50125891756
247,2020-09-04,305966.8386947167
248,2020-09-05,306035.98210144055
249,2020-09-06,306102.9977116246
250,2020-09-07,306167.94979748316
251,2020-09-08,306230.90072772506
252,2020-09-09,306291.911022759
253,2020-09-10,306351.0394083333
254,2020-09-11,306408.34286765364
255,2020-09-12,306463.87669202033
256,2020-09-13,306517.69453002675
257,2020-09-14,306569.84843535855
258,2020-09-15,306620.3889132328
259,2020-09-16,306669.3649655142
260,2020-09-17,306716.8241345462
261,2020-09-18,306762.81254573166
262,2020-09-19,306807.37494889856
263,2020-09-20,306850.5547584846
264,2020-09-21,306892.3940925733
265,2020-09-22,306932.9338108141
266,2020-09-23,306972.2135512568
267,2020-09-24,307010.2717661319
268,2020-09-25,307047.1457566053
269,2020-09-26,307082.87170653656
270,2020-09-27,307117.4847152683
271,2020-09-28,307151.0188294746
272,2020-09-29,307183.50707409345
273,2020-09-30,307214.98148237093
274,2020-10-01,307245.4731250398
275,2020-10-02,307275.0121386588
276,2020-10-03,307303.62775313505
277,2020-10-04,307331.34831845324
278,2020-10-05,307358.20133063314
279,2020-10-06,307384.2134569384
280,2020-10-07,307409.41056035645
281,2020-10-08,307433.81772337115
282,2020-10-09,307457.4592710474
283,2020-10-10,307480.3587934475
284,2020-10-11,307502.53916739847
285,2020-10-12,307524.022577628
286,2020-10-13,307544.8305372875
287,2020-10-14,307564.9839078793
288,2020-10-15,307584.50291860494
289,2020-10-16,307603.4071851517
290,2020-10-17,307621.71572793176
291,2020-10-18,307639.4469897911
292,2020-10-19,307656.61885320256
293,2020-10-20,307673.2486569577
294,2020-10-21,307689.3532123719
295,2020-10-22,307704.9488190164
296,2020-10-23,307720.05127999134
297,2020-10-24,307734.6759167518
298,2020-10-25,307748.83758350095
299,2020-10-26,307762.5506811615
300,2020-10-27,307775.8291709385
301,2020-10-28,307788.6865874843
302,2020-10-29,307801.1360516778
303,2020-10-30,307813.19028302864
304,2020-10-31,307824.86161171726
305,2020-11-01,307836.1619902811
306,2020-11-02,307847.1030049573
307,2020-11-03,307857.695886692
308,2020-11-04,307867.9515218248
309,2020-11-05,307877.8804624595
310,2020-11-06,307887.4929365282
311,2020-11-07,307896.7988575589
312,2020-11-08,307905.80783415533
313,2020-11-09,307914.5291791957
314,2020-11-10,307922.97191876057
315,2020-11-11,307931.14480079594
316,2020-11-12,307939.0563035206
317,2020-11-13,307946.7146435841
